Confound,Conf_time_point,Model,h5name,n_samples BL,Accuracy BL,Std-Dev BL,n_samples CB,Accuracy CB,Std-Dev CB,Accuracy Diff CB - BL,Std-Dev Diff CB - BL,h5cat,category,abs_diff,rank
Alc-lastmntFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-lastmntFU3,477,67.34508846404009,3.4156137342703605,477,57.52251387332032,2.3872290520952757,-9.822574590719757,3.077295006137983,h5causal0,Alcohol,9.822574590719757,0
Alcohol_problem_indexFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alcohol_problem_indexFU3,477,67.34508846404009,3.4156137342703605,477,58.567380744800104,4.237701300216831,-8.77770771923998,4.2990979354336485,h5causal0,Alcohol,8.77770771923998,1
Age_first_drunkFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Age_first_drunkFU3,477,67.34508846404009,3.4156137342703605,477,58.83900893981539,7.585763019483374,-8.506079524224685,5.106949116519444,h5causal0,Alcohol,8.506079524224685,2
Sensation_seeking,BL,SVM-rbf,posthoc-cc3-h5causal0-Sensation_seeking,477,67.34508846404009,3.4156137342703605,477,59.40339100621358,4.5816537763413105,-7.941697457826502,4.215527210894787,h5causal0,Personality,7.941697457826502,3
Alc-last12mntFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Alc-last12mntFU3,477,67.34508846404009,3.4156137342703605,477,59.5547520446714,7.103509285348982,-7.790336419368682,5.292357673861338,h5causal0,Alcohol,7.790336419368682,4
Accident_val,BL,SVM-rbf,posthoc-cc3-h5causal0-Accident_val,477,67.34508846404009,3.4156137342703605,477,60.85531095611741,4.741764374712145,-6.489777507922678,1.7772398171241512,h5causal0,Biographic,6.489777507922678,5
Drug_abuse_screening_parent,BL,SVM-rbf,posthoc-cc3-h5causal0-Drug_abuse_screening_parent,477,67.34508846404009,3.4156137342703605,477,61.08339041806784,6.071912827405173,-6.261698045972242,3.574094806372545,h5causal0,Familial risk,6.261698045972242,6
Eating_behavior_uncontrolled_eatingFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Eating_behavior_uncontrolled_eatingFU3,477,67.34508846404009,3.4156137342703605,477,61.135155893220414,7.599673940807879,-6.2099325708196655,5.735360510725134,h5causal0,Addiction-related,6.2099325708196655,7
Conformity_drinking_motiveFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Conformity_drinking_motiveFU3,477,67.34508846404009,3.4156137342703605,477,61.17572065152711,5.538996720644546,-6.169367812512972,3.6664748414332227,h5causal0,Alcohol,6.169367812512972,8
Smoking_lifetimeFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Smoking_lifetimeFU3,477,67.34508846404009,3.4156137342703605,477,61.22348587066328,8.144830232579112,-6.121602593376796,5.902716159819354,h5causal0,Addiction-related,6.121602593376796,9
Conscientiousness,BL,SVM-rbf,posthoc-cc3-h5causal0-Conscientiousness,477,67.34508846404009,3.4156137342703605,477,66.8860969264195,4.4641766206518785,-0.45899153762057887,4.554855257592844,h5causal0,Personality,0.45899153762057887,110
Tobacco_lastmnt_TLFBFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Tobacco_lastmnt_TLFBFU3,477,67.34508846404009,3.4156137342703605,477,67.23098386404838,5.922211532418869,-0.11410459999170453,3.7638176545165756,h5causal0,Addiction-related,0.11410459999170453,111
Accident_valFU3,BL,SVM-rbf,posthoc-cc3-h5causal0-Accident_valFU3,477,67.34508846404009,3.4156137342703605,477,67.24772007030072,6.446893276974223,-0.09736839373937212,4.046601265759245,h5causal0,Biographic,0.09736839373937212,112
